,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,/:org.axiondb.engine.AxionColumnsMetaTableUpdater,137,31,0,0,168,CLASS
,/:org.axiondb.engine.BaseBTreeIndex,27,6,0,0,33,CLASS
,/:org.axiondb.engine.BaseWhereNodeVisitor,38,8,0,0,46,CLASS
,/:org.axiondb.engine.ArrayIndexFactory,11,6,0,0,17,CLASS
,/:org.axiondb.engine.MemoryTable,145,14,0,0,159,CLASS
,/:org.axiondb.engine.ObjectArrayIndex,88,7,0,0,95,CLASS
,/:org.axiondb.engine.DiskSystemTable,82,18,0,0,100,CLASS
,/:org.axiondb.engine.ObjectBTreeIndexLoader,45,13,0,0,58,CLASS
,/:org.axiondb.engine.AxionTablesMetaTableUpdater,38,17,0,0,55,CLASS
,/:org.axiondb.engine.ReferencesOtherTablesWhereNodeVisitor,30,5,0,0,35,CLASS
,/:org.axiondb.engine.BaseDiskTable,279,26,0,0,305,CLASS
,/:org.axiondb.engine.BaseArrayIndex,149,20,0,0,169,CLASS
,/:org.axiondb.engine.MemoryDatabase,33,6,0,0,39,CLASS
,/:org.axiondb.engine.IntArrayIndex,94,8,0,0,102,CLASS
,/:org.axiondb.engine.SimpleRow,29,3,0,0,32,CLASS
,/:org.axiondb.engine.ObjectBTreeIndex,125,22,0,0,147,CLASS
,/:org.axiondb.engine.FlattenWhereNodeVisitor,24,7,0,0,31,CLASS
,/:org.axiondb.engine.TransactableTableImpl,400,44,0,57,501,CLASS
,/:org.axiondb.engine.TransactableTableImpl$TransactableTableRowIterator,11,0,0,0,11,INNER_CLASS
,/:org.axiondb.engine.TransactableTableImpl$ExcludeDeleted,8,0,0,0,8,INNER_CLASS
,/:org.axiondb.engine.TransactableTableImpl$ExcludeUpdated,8,0,0,0,8,INNER_CLASS
,/:org.axiondb.engine.TransactableTableImpl$TransformUpdated,19,0,0,0,19,INNER_CLASS
,/:org.axiondb.engine.TransactableTableImpl$InsertedRowIterator,11,0,0,0,11,INNER_CLASS
,/:org.axiondb.engine.Databases,54,13,0,0,67,CLASS
,/:org.axiondb.engine.BTreeIndexFactory,11,6,0,0,17,CLASS
,/:org.axiondb.engine.ClearBindVariableWhereNodeVisitor,12,3,0,0,15,CLASS
,/:org.axiondb.engine.LazyRow,38,5,0,0,43,CLASS
,/:org.axiondb.engine.BaseDatabase,546,50,0,0,596,CLASS
,/:org.axiondb.engine.rowiterators.FilteringRowIterator,16,6,0,0,22,CLASS
,/:org.axiondb.engine.rowiterators.BaseRowIterator,38,4,0,0,42,CLASS
,/:org.axiondb.engine.rowiterators.DelegatingRowIterator,69,4,0,0,73,CLASS
,/:org.axiondb.engine.rowiterators.LazyRowRowIterator,77,8,0,0,85,CLASS
,/:org.axiondb.engine.rowiterators.SimpleJoinedRowIterator,236,8,0,0,244,CLASS
,/:org.axiondb.engine.rowiterators.EmptyRowIterator,58,4,0,0,62,CLASS
,/:org.axiondb.engine.rowiterators.TransformingRowIterator,21,4,0,0,25,CLASS
,/:org.axiondb.engine.rowiterators.BaseJoinedRowIterator,122,11,0,0,133,CLASS
,/:org.axiondb.engine.rowiterators.RebindableIndexedRowIterator,17,6,0,0,23,CLASS
,/:org.axiondb.engine.rowiterators.RowIteratorRowDecoratorIterator,68,7,0,0,75,CLASS
,/:org.axiondb.engine.rowiterators.DistinctRowIterator,41,10,0,0,51,CLASS
,/:org.axiondb.engine.rowiterators.AbstractAcceptingRowIterator,42,4,0,0,46,CLASS
,/:org.axiondb.engine.rowiterators.ChainedRowIterator,90,6,0,0,96,CLASS
,/:org.axiondb.engine.rowiterators.SingleRowIterator,99,4,0,0,103,CLASS
,/:org.axiondb.engine.rowiterators.IndexJoinedRowIterator,134,7,0,0,141,CLASS
,/:org.axiondb.engine.rowiterators.ListIteratorRowIterator,63,4,0,0,67,CLASS
,/:org.axiondb.engine.rowiterators.CollatingRowIterator,184,12,0,0,196,CLASS
,/:org.axiondb.engine.rowiterators.LimitingRowIterator,54,4,0,0,58,CLASS
,/:org.axiondb.engine.rowiterators.UnmodifiableRowIterator,17,4,0,0,21,CLASS
,/:org.axiondb.engine.rowiterators.JoinedRow,39,4,0,0,43,CLASS
,/:org.axiondb.engine.rowiterators.ChangingIndexedRowIterator,37,5,0,0,42,CLASS
,/:org.axiondb.engine.rowiterators.AbstractFilteringRowIterator,148,6,0,0,154,CLASS
,/:org.axiondb.engine.BaseTable,317,44,0,0,361,CLASS
,/:org.axiondb.engine.MemoryTableFactory,7,5,0,0,12,CLASS
,/:org.axiondb.engine.BaseIndex,33,13,0,0,46,CLASS
,/:org.axiondb.engine.IntBTreeIndexLoader,43,13,0,0,56,CLASS
,/:org.axiondb.engine.DiskTable,596,34,0,0,630,CLASS
,/:org.axiondb.engine.AxionSequencesMetaTableUpdater,32,15,0,0,47,CLASS
,/:org.axiondb.engine.AxionTypesMetaTableUpdater,37,10,0,0,47,CLASS
,/:org.axiondb.engine.commands.CheckFileStateCommand,74,19,0,0,93,CLASS
,/:org.axiondb.engine.commands.SelectCommand,520,40,0,0,560,CLASS
,/:org.axiondb.engine.commands.UpdateCommand,112,20,0,0,132,CLASS
,/:org.axiondb.engine.commands.DropTableCommand,29,4,0,0,33,CLASS
,/:org.axiondb.engine.commands.ShutdownCommand,18,4,0,0,22,CLASS
,/:org.axiondb.engine.commands.CheckpointCommand,18,4,0,0,22,CLASS
,/:org.axiondb.engine.commands.RemountCommand,73,12,0,0,85,CLASS
,/:org.axiondb.engine.commands.BaseAxionCommand,111,18,0,0,129,CLASS
,/:org.axiondb.engine.commands.CollectBindVariablesWhereNodeVisitor,13,5,0,0,18,CLASS
,/:org.axiondb.engine.commands.DeleteCommand,72,12,0,0,84,CLASS
,/:org.axiondb.engine.commands.DropSequenceCommand,24,4,0,0,28,CLASS
,/:org.axiondb.engine.commands.AddConstraintCommand,58,7,0,0,65,CLASS
