,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,/main/:org.quickserver.net.client.ClientService,17,3,0,0,20,INTERFACE
,/main/:org.quickserver.net.client.BlockingClient,168,4,0,0,172,CLASS
,/main/:org.quickserver.net.ConnectionLostException,8,1,0,0,9,CLASS
,/main/:org.quickserver.net.AppException,11,1,0,0,12,CLASS
,/main/:org.quickserver.net.Service,15,1,0,0,16,INTERFACE
,/main/:org.quickserver.net.server.QuickAuthenticationHandler,22,6,0,0,28,CLASS
,/main/:org.quickserver.net.server.gui.About,137,10,0,0,147,CLASS
,/main/:org.quickserver.net.server.GhostSocketReaper,250,9,0,0,259,CLASS
,/main/:org.quickserver.net.server.ClientHandler,69,25,0,0,94,INTERFACE
,/main/:org.quickserver.net.server.ClientAuthenticationHandler,10,3,0,0,13,INTERFACE
,/main/:org.quickserver.net.server.QuickAuthenticator,104,6,0,0,110,CLASS
,/main/:org.quickserver.net.server.AuthStatus,17,1,0,0,18,CLASS
,/main/:org.quickserver.net.server.QuickServer,1880,24,0,0,1904,CLASS
,/main/:org.quickserver.net.server.TheClient,153,3,0,0,156,CLASS
,/main/:org.quickserver.net.server.DataType,11,1,0,0,12,CLASS
,/main/:org.quickserver.net.server.Authenticator,4,4,0,0,8,INTERFACE
,/main/:org.quickserver.net.server.ClientCommandHandler,4,3,0,0,7,INTERFACE
,/main/:org.quickserver.net.server.ClientData,2,1,0,0,3,INTERFACE
,/main/:org.quickserver.net.server.DataMode,13,1,0,0,14,CLASS
,/main/:org.quickserver.net.server.ClientEvent,17,1,0,0,18,CLASS
,/main/:org.quickserver.net.server.ClientIdentifier,10,4,0,0,14,INTERFACE
,/main/:org.quickserver.net.server.impl.OptimisticClientIdentifier,109,7,0,0,116,CLASS
,/main/:org.quickserver.net.server.impl.NonBlockingClientHandler,764,11,0,0,775,CLASS
,/main/:org.quickserver.net.server.impl.RegisterChannelRequest,44,4,0,0,48,CLASS
,/main/:org.quickserver.net.server.impl.BasicClientIdentifier,83,8,0,0,91,CLASS
,/main/:org.quickserver.net.server.impl.DefaultClientEventHandler,73,6,0,0,79,CLASS
,/main/:org.quickserver.net.server.impl.BlockingClientHandler,440,9,0,0,449,CLASS
,/main/:org.quickserver.net.server.impl.SyncClientIdentifier,58,7,0,0,65,CLASS
,/main/:org.quickserver.net.server.impl.BasicClientHandler,718,15,0,6,739,CLASS
,/main/:org.quickserver.net.server.impl.BasicClientHandler$InstanceId,6,0,0,0,6,INNER_CLASS
,/main/:org.quickserver.net.server.impl.BasicPoolManager,49,8,0,0,57,CLASS
,/main/:org.quickserver.net.server.ClientObjectHandler,4,3,0,0,7,INTERFACE
,/main/:org.quickserver.net.server.ClientBinaryHandler,4,3,0,0,7,INTERFACE
,/main/:org.quickserver.net.server.ClientWriteHandler,4,3,0,0,7,INTERFACE
,/main/:org.quickserver.net.server.ClientIdentifiable,5,1,0,0,6,INTERFACE
,/main/:org.quickserver.net.server.ClientExtendedEventHandler,5,3,0,0,8,INTERFACE
,/main/:org.quickserver.net.server.PoolManager,7,4,0,0,11,INTERFACE
,/main/:org.quickserver.net.server.ClientEventHandler,8,3,0,0,11,INTERFACE
,/main/:org.quickserver.net.InitServerHook,4,2,0,0,6,INTERFACE
,/main/:org.quickserver.net.qsadmin.CommandHandler,605,16,0,0,621,CLASS
,/main/:org.quickserver.net.qsadmin.gui.SimpleActionListener,26,3,0,0,29,CLASS
,/main/:org.quickserver.net.qsadmin.gui.LoginDialog,222,9,0,0,231,CLASS
,/main/:org.quickserver.net.qsadmin.gui.SplashScreen,23,6,0,0,29,CLASS
,/main/:org.quickserver.net.qsadmin.gui.HeaderPanel,142,10,0,0,152,CLASS
,/main/:org.quickserver.net.qsadmin.gui.QSAdminGUI,229,16,0,0,245,CLASS
,/main/:org.quickserver.net.qsadmin.gui.SaveActionListener,38,3,0,0,41,CLASS
,/main/:org.quickserver.net.qsadmin.gui.EditFieldDocumentListener,14,4,0,0,18,CLASS
,/main/:org.quickserver.net.qsadmin.gui.SimpleCommand,101,2,0,0,103,CLASS
,/main/:org.quickserver.net.qsadmin.gui.QSAdminMain,346,7,0,0,353,CLASS
,/main/:org.quickserver.net.qsadmin.gui.QSAdmin,8,1,0,0,9,CLASS
,/main/:org.quickserver.net.qsadmin.gui.PluginPanel,8,1,0,0,9,INTERFACE
,/main/:org.quickserver.net.qsadmin.gui.PropertiePanel,95,9,0,0,104,CLASS
,/main/:org.quickserver.net.qsadmin.gui.SimpleCommandSet,48,8,0,0,56,CLASS
,/main/:org.quickserver.net.qsadmin.gui.MainCommandPanel,78,9,0,0,87,CLASS
,/main/:org.quickserver.net.qsadmin.gui.Propertie,273,8,0,0,281,CLASS
,/main/:org.quickserver.net.qsadmin.gui.PropertieSet,52,8,0,0,60,CLASS
,/main/:org.quickserver.net.qsadmin.gui.CmdConsole,205,7,0,0,212,CLASS
,/main/:org.quickserver.net.qsadmin.Data,23,4,0,0,27,CLASS
,/main/:org.quickserver.net.qsadmin.QSAdminServer,105,5,0,0,110,CLASS
,/main/:org.quickserver.net.qsadmin.CommandPlugin,4,4,0,0,8,INTERFACE
,/main/:org.quickserver.net.qsadmin.QSAdminAPI,88,4,0,0,92,CLASS
,/main/:org.quickserver.net.qsadmin.Authenticator,36,5,0,0,41,CLASS
,/main/:org.quickserver.net.qsadmin.QSAdminShell,264,8,0,0,272,CLASS
,/main/:org.quickserver.net.ServerHook,9,2,0,0,11,INTERFACE
,/main/:org.quickserver.util.ClassUtil,53,6,0,0,59,CLASS
,/main/:org.quickserver.util.TextFile,68,3,0,0,71,CLASS
,/main/:org.quickserver.util.xmlreader.IpFilterConfig,47,2,0,0,49,CLASS
,/main/:org.quickserver.util.xmlreader.QuickServerConfig,137,2,0,0,139,CLASS
,/main/:org.quickserver.util.xmlreader.PoolConfig,26,1,0,0,27,CLASS
,/main/:org.quickserver.util.xmlreader.Secure,76,2,0,0,78,CLASS
,/main/:org.quickserver.util.xmlreader.DBObjectPoolConfig,26,2,0,0,28,CLASS
,/main/:org.quickserver.util.xmlreader.ThreadObjectPoolConfig,20,1,0,0,21,CLASS
,/main/:org.quickserver.util.xmlreader.ByteBufferObjectPoolConfig,20,1,0,0,21,CLASS
,/main/:org.quickserver.util.xmlreader.PluginConfigReader,21,5,0,0,26,CLASS
,/main/:org.quickserver.util.xmlreader.DefaultDataMode,57,3,0,0,60,CLASS
,/main/:org.quickserver.util.xmlreader.AccessConstraintConfig,34,5,0,0,39,CLASS
,/main/:org.quickserver.util.xmlreader.DatabaseConnectionSet,27,2,0,0,29,CLASS
,/main/:org.quickserver.util.xmlreader.TrustStoreInfo,50,1,0,0,51,CLASS
,/main/:org.quickserver.util.xmlreader.ConfigReader,307,9,0,0,316,CLASS
,/main/:org.quickserver.util.xmlreader.Property,22,1,0,0,23,CLASS
,/main/:org.quickserver.util.xmlreader.SecureStore,68,1,0,0,69,CLASS
,/main/:org.quickserver.util.xmlreader.DatabaseConnectionConfig,54,2,0,0,56,CLASS
,/main/:org.quickserver.util.xmlreader.QSAdminServerConfig,99,3,0,0,102,CLASS
,/main/:org.quickserver.util.xmlreader.QSAdminPluginConfig,54,1,0,0,55,CLASS
,/main/:org.quickserver.util.xmlreader.ClientHandlerObjectPoolConfig,20,1,0,0,21,CLASS
,/main/:org.quickserver.util.xmlreader.ApplicationConfiguration,39,2,0,0,41,CLASS
,/main/:org.quickserver.util.xmlreader.AdvancedSettings,93,3,0,0,96,CLASS
,/main/:org.quickserver.util.xmlreader.KeyStoreInfo,42,1,0,0,43,CLASS
,/main/:org.quickserver.util.xmlreader.InitServerHooks,19,2,0,0,21,CLASS
,/main/:org.quickserver.util.xmlreader.BasicServerConfig,264,2,0,0,266,CLASS
,/main/:org.quickserver.util.xmlreader.ClientDataObjectPoolConfig,20,1,0,0,21,CLASS
,/main/:org.quickserver.util.xmlreader.ServerMode,23,1,0,0,24,CLASS
,/main/:org.quickserver.util.xmlreader.ObjectPoolConfig,62,1,0,0,63,CLASS
,/main/:org.quickserver.util.xmlreader.ServerHooks,19,2,0,0,21,CLASS
,/main/:org.quickserver.util.MyString,192,2,0,0,194,CLASS
,/main/:org.quickserver.util.Assertion,15,1,0,0,16,CLASS
,/main/:org.quickserver.util.logging.MicroFormatter,18,3,0,0,21,CLASS
,/main/:org.quickserver.util.logging.SimpleConsoleFormatter,33,5,0,0,38,CLASS
,/main/:org.quickserver.util.logging.SimpleTextFormatter,41,6,0,0,47,CLASS
,/main/:org.quickserver.util.logging.MiniFormatter,23,5,0,0,28,CLASS
,/main/:org.quickserver.util.logging.SimpleJDKLoggingHook,58,6,0,0,64,CLASS
,/main/:org.quickserver.util.io.ByteBufferOutputStream,183,8,0,0,191,CLASS
,/main/:org.quickserver.util.io.DirFileList,5,2,0,0,7,CLASS
,/main/:org.quickserver.util.io.MaskingThread,27,2,0,0,29,CLASS
,/main/:org.quickserver.util.io.JarFileList,8,2,0,0,10,CLASS
,/main/:org.quickserver.util.io.PasswordField,69,4,0,0,73,CLASS
,/main/:org.quickserver.util.io.ByteBufferInputStream,321,9,0,0,330,CLASS
,/main/:org.quickserver.util.pool.ClientHandlerObjectFactory,37,4,0,0,41,CLASS
,/main/:org.quickserver.util.pool.PoolHelper,10,2,0,0,12,CLASS
,/main/:org.quickserver.util.pool.QSObjectPool,4,3,0,0,7,INTERFACE
,/main/:org.quickserver.util.pool.ByteBufferObjectFactory,31,3,0,0,34,CLASS
,/main/:org.quickserver.util.pool.thread.ClientPool,124,8,0,0,132,CLASS
,/main/:org.quickserver.util.pool.thread.ClientThread,115,6,0,6,127,CLASS
,/main/:org.quickserver.util.pool.thread.ClientThread$InstanceId,6,0,0,0,6,INNER_CLASS
