,/net/wastl/webmail/plugins/ShowMessage.java:default.ShowMessage,/:net.wastl.webmail.server.AuthenticatorHandler,/:net.wastl.webmail.server.StatusServer,/net/wastl/webmail/authenticators/UnixAuthenticator.java:default.UnixAuthenticator,/:net.wastl.webmail.config.UnchangeableStringConfigParameter,/:net.wastl.webmail.server.PluginHandler$FFilter,/:net.wastl.webmail.misc.StreamConnector,/:net.wastl.webmail.server.SystemCheck,/:net.wastl.webmail.xml.XMLUserData,/:org.webengruven.webmail.auth.OTPAuthenticatorIface,/:net.wastl.webmail.config.ConfigScheme,/:org.webengruven.webmail.auth.CRAuthenticator,/org/webengruven/webmail/plugins/ChallengeHandler.java:default.ChallengeHandler,/:net.wastl.webmail.server.Plugin,/:net.wastl.webmail.config.StringConfigParameter,/:net.wastl.webmail.server.WebMailVirtualDomain,/:net.wastl.webmail.server.AdminSession,/:net.wastl.webmail.exceptions.InvalidPasswordException,/:net.wastl.webmail.server.URLHandlerTree,/:org.webengruven.webmail.auth.AuthDisplayMngr,/:net.wastl.webmail.server.http.HTTPRequestHeader,/net/wastl/webmail/plugins/SendMessage.java:default.SendMessage,/:net.wastl.webmail.server.WebMailServlet,/:net.wastl.webmail.exceptions.NoSuchFolderException,/:net.wastl.webmail.config.CryptedStringConfigParameter,/:net.wastl.webmail.misc.Helper,/:net.wastl.webmail.server.ToplevelURLHandler,/:net.wastl.webmail.ui.html.HTMLHeader,/:org.bulbul.webmail.xmlresource.Resources_en_US,/:net.wastl.webmail.exceptions.WebMailException,/:net.wastl.webmail.misc.MD5State,/:net.wastl.webmail.storage.simple.SimpleStorage,/:net.wastl.webmail.debug.ErrorHandler,/:net.wastl.webmail.server.MailHostData,/net/wastl/webmail/plugins/WebMailTitle.java:default.WebMailTitle,/:net.wastl.webmail.config.ConfigParameter,/:net.wastl.webmail.ui.html.HTMLDocument,/net/wastl/webmail/plugins/ErrorHandler.java:default.ErrorHandler,/:net.wastl.webmail.misc.TEA,/:net.wastl.webmail.exceptions.BinaryNotFoundException,/:net.wastl.webmail.xml.XMLResourceBundle,/net/wastl/webmail/plugins/WebMailHelp.java:default.WebMailHelp,/:net.wastl.webmail.exceptions.InvalidDataException,/:net.wastl.webmail.storage.FileStorage,/:net.wastl.webmail.misc.ExpireableCache,/:net.wastl.webmail.server.PluginHandler,/:net.wastl.webmail.xml.XMLCommon,/net/wastl/webmail/plugins/PassThroughPlugin.java:default.PassThroughPlugin,/net/wastl/webmail/plugins/About.java:default.About,/:net.wastl.webmail.xml.XMLAdminModel,/:net.wastl.webmail.config.ConfigYesNoParameter,/:net.wastl.webmail.server.HTTPSession,/net/wastl/webmail/plugins/Composer.java:default.Composer,/net/wastl/webmail/plugins/FileAttacher.java:default.FileAttacher,/:net.wastl.webmail.xml.XMLUserModel,/net/wastl/webmail/plugins/UserSetup.java:default.UserSetup,/:net.wastl.webmail.misc.ByteStore,/:net.wastl.webmail.misc.AttributedExpireableCache,/:net.wastl.webmail.exceptions.TimeoutException,/:org.bulbul.webmail.xmlresource.ResourceBase,/:net.wastl.webmail.server.Authenticator,/org/webengruven/webmail/authenticators/OTPAuthenticator.java:default.OTPAuthenticator,/:net.wastl.webmail.misc.StringHeap,/:org.bulbul.webmail.xmlresource.Resources_en,/net/wastl/webmail/plugins/NavBar.java:default.NavBar,/:net.wastl.webmail.server.Storage,/:net.wastl.webmail.server.PluginDependencyTree,/:net.wastl.webmail.server.UserData,/:net.wastl.webmail.xml.XMLMessagePart,/:net.wastl.webmail.ui.xml.XHTMLDocument,/:net.wastl.webmail.exceptions.CreateUserDataException,/:org.bulbul.webmail.util.TranscodeUtil,/:net.wastl.webmail.misc.Queue,/:net.wastl.webmail.server.WebMailSession,/:net.wastl.webmail.misc.ExpireableCache$MyHeap,/:net.wastl.webmail.ui.html.HTMLImage,/:net.wastl.webmail.misc.MD5,/net/wastl/webmail/authenticators/POPAuthenticator.java:default.POPAuthenticator,/:net.wastl.webmail.exceptions.UserDataException,/:net.wastl.webmail.ui.html.Fancyfier,/:net.wastl.webmail.xml.XMLSystemData,/:net.wastl.webmail.exceptions.StylesheetNotFoundException,/:net.wastl.webmail.server.TimeableConnection,/:net.wastl.webmail.logger.ServletLogger,/:org.webengruven.webmail.auth.CRAuthDisplayMngr,/net/wastl/webmail/plugins/AdminPlugin.java:default.AdminPlugin,/net/wastl/webmail/plugins/LogoutSession.java:default.LogoutSession,/:net.wastl.webmail.server.http.HTTPResponseHeader,/:net.wastl.webmail.server.URLHandler,/:org.webengruven.webmail.auth.OTPAuthDisplayMngr,/:net.wastl.webmail.config.ConfigurationListener,/net/wastl/webmail/plugins/FolderSetup.java:default.FolderSetup,/:net.wastl.webmail.xml.XMLMessage,/net/wastl/webmail/plugins/ShowMIME.java:default.ShowMIME,/:net.wastl.webmail.ui.html.JavaScriptFilter,/:net.wastl.webmail.server.URLHandlerTreeNode,/net/wastl/webmail/plugins/AdminPlugin.java:default.AdminPlugin$ShutdownThread,/:net.wastl.webmail.config.IntegerConfigParameter,/:org.bulbul.webmail.xmlresource.Resources_zh_TW,/:net.wastl.webmail.config.ChoiceConfigParameter,/:net.wastl.webmail.xml.XMLGenericModel,/net/wastl/webmail/plugins/MailboxList.java:default.MailboxList,/:org.webengruven.webmail.auth.OTPCacheNode,/:net.wastl.webmail.config.ConfigStore,/net/wastl/webmail/authenticators/IMAPAuthenticator.java:default.IMAPAuthenticator,/net/wastl/webmail/plugins/FolderList.java:default.FolderList,/:net.wastl.webmail.server.Logger,/net/wastl/webmail/plugins/ImageHandler.java:default.ImageHandler,/net/wastl/webmail/authenticators/SimpleAuthenticator.java:default.SimpleAuthenticator,/:net.wastl.webmail.server.WebMailServer,/:net.wastl.webmail.logger.FileLogger,/:net.wastl.webmail.server.ConnectionTimer,/:net.wastl.webmail.exceptions.DocumentNotFoundException,/:net.wastl.webmail.misc.JavaScriptCleaner,/:org.bulbul.webmail.xmlresource.Resources
parent,1,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,2,1,2,2,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,1,1,0,0,2,0,0,0,2,1,0,0,0,2,0,2,0,0,2,0,0,0,0
author,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
sess,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
show,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
store,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,3,0,0,1,2,2,0,0,1,2,0,5,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,2,1,0,1,2,2,1,0,0,0,0
requir,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,0,0,0,0,0,1,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0
list,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
sebastian,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
version,3,1,1,3,1,0,1,1,1,0,1,3,2,3,0,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,0,0,1,1,3,0,1,3,1,1,1,3,1,0,1,1,1,3,3,1,1,1,3,3,1,3,1,1,1,1,2,8,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,3,3,2,0,0,0,3,0,3,1,0,0,1,1,0,1,3,0,1,3,3,1,3,3,3,1,1,1,1,1
url,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,3,1,0,0,0,6,0,0,0,0,0,0,2,3,0,0,4,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,3,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,1,0,0,0,0,0
schaffert,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
suburl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
